id,y
374,6
375,1
376,8
377,1
378,9
379,1
380,3
381,6
382,6
383,8
384,1
385,6
386,7
387,8
388,9
389,1
390,1
391,5
392,1
393,5
394,6
395,3
396,5
397,6
398,7
399,4
400,8
401,7
402,6
403,5
404,4
405,1
406,6
407,6
408,1
409,8
410,1
411,9
412,6
413,4
414,5
415,7
416,5
417,2
418,1
419,1
420,8
421,4
422,1
423,1
424,6
425,6
426,1
427,1
428,9
429,1
430,4
431,9
432,2
433,1
434,7
435,1
436,1
437,8
438,4
439,9
440,8
441,8
442,7
443,8
444,8
445,9
446,9
447,6
448,3
449,8
450,5
451,8
452,6
453,5
454,1
455,7
456,7
457,8
458,3
459,1
460,2
461,1
462,9
463,1
464,8
465,9
466,3
467,1
468,4
469,4
470,9
471,8
472,1
473,8
474,8
475,1
476,5
477,1
478,1
479,6
480,6
481,9
482,1
483,3
484,1
485,7
486,8
487,4
488,1
489,6
490,1
491,2
492,4
493,1
494,1
495,7
496,8
497,1
498,1
499,1
500,1
501,1
502,8
503,6
504,9
505,2
506,8
507,9
508,2
509,4
510,4
511,7
512,6
513,9
514,1
515,6
516,8
517,1
518,1
519,8
520,6
521,6
522,7
523,7
524,1
525,9
526,4
527,1
528,4
529,8
530,8
531,9
532,7
533,4
534,4
535,8
536,2
537,2
538,1
539,8
540,9
541,1
542,4
543,8
544,6
545,6
546,6
547,3
548,4
549,6
550,9
551,4
552,8
553,6
554,6
555,5
556,1
557,8
558,1
559,9
560,9
561,1
562,8
563,5
564,4
565,5
566,1
567,4
568,1
569,1
570,7
571,6
572,9
573,1
574,2
575,7
576,8
577,4
578,5
579,5
580,6
581,3
582,2
583,6
584,1
585,5
586,1
587,1
588,1
589,4
590,7
591,1
592,6
593,4
594,1
595,6
596,6
597,9
598,5
599,9
600,8
601,1
602,7
603,4
604,8
605,1
606,8
607,1
608,6
609,1
610,1
611,8
612,7
613,1
614,3
615,1
616,1
617,9
618,3
619,1
620,6
621,7
622,4
623,8
624,8
625,9
626,3
627,6
628,7
629,1
630,1
631,2
632,6
633,8
634,3
635,7
636,6
637,5
638,9
639,1
640,8
641,8
642,6
643,6
644,3
645,7
646,2
647,7
648,1
649,6
650,4
651,4
652,9
653,6
654,1
655,1
656,4
657,7
658,6
659,1
660,5
661,8
662,6
663,1
664,8
665,1
666,7
667,2
668,9
669,8
670,6
671,8
672,4
673,1
674,1
675,1
676,8
677,3
678,1
679,6
680,8
681,6
682,7
683,9
684,2
685,1
686,6
687,4
688,8
689,1
690,1
691,1
692,1
693,4
694,5
695,1
696,6
697,8
698,2
699,8
700,1
701,6
702,1
703,4
704,9
705,1
706,4
707,1
708,6
709,6
710,1
711,9
712,7
713,7
714,4
715,1
716,8
717,1
718,6
719,1
720,4
721,2
722,7
723,8
724,9
725,6
726,9
727,1
728,1
729,7
730,8
731,1
732,1
733,5
734,1
735,9
736,1
737,3
738,8
739,1
740,7
741,1
742,6
743,7
744,4
745,1
746,6
747,5
748,9
749,1
750,7
751,8
752,7
753,2
754,2
755,4
756,1
757,8
758,9
759,4
760,8
761,1
762,1
763,7
764,8
765,8
766,1
767,7
768,1
769,6
770,7
771,8
772,1
773,5
774,4
775,6
776,1
777,1
778,9
779,5
780,6
781,5
782,8
783,6
784,8
785,5
786,7
787,3
788,9
789,9
790,1
791,1
792,4
793,8
794,2
795,1
796,1
797,2
798,1
799,9
800,8
801,3
802,6
803,6
804,9
805,5
806,1
807,8
808,1
809,7
810,7
811,1
812,1
813,6
814,4
815,1
816,6
817,4
818,4
819,1
820,4
821,1
822,1
823,8
824,9
825,6
826,6
827,7
828,4
829,6
830,1
831,6
832,1
833,1
834,8
835,7
836,7
837,6
838,9
839,1
840,4
841,8
842,1
843,1
844,1
845,8
846,6
847,9
848,8
849,8
850,6
851,6
852,5
853,1
854,9
855,1
856,7
857,5
858,6
859,8
860,2
861,1
862,8
863,6
864,4
865,4
866,5
867,1
868,8
869,8
870,1
871,6
872,6
873,8
874,6
875,6
876,7
877,6
878,1
879,1
880,2
881,3
882,1
883,2
884,1
885,1
886,8
887,5
888,1
889,1
890,9
891,8
892,1
893,4
894,1
895,1
896,6
897,6
898,8
899,1
900,6
901,5
902,1
903,1
904,4
905,6
906,3
907,4
908,1
909,7
910,9
911,9
912,9
913,1
914,7
915,1
916,1
917,7
918,9
919,1
920,9
921,4
922,6
923,3
924,2
925,7
926,8
927,8
928,8
929,6
930,5
931,5
932,1
933,8
934,1
935,9
936,3
937,1
938,8
939,4
940,5
941,6
942,1
943,6
944,5
945,1
946,9
947,8
948,1
949,6
950,2
951,1
952,1
953,1
954,6
955,8
956,3
957,6
958,7
959,4
960,1
961,6
962,3
963,9
964,6
965,1
966,9
967,2
968,1
969,1
970,9
971,4
972,6
973,4
974,5
975,8
976,1
977,3
978,4
979,4
980,6
981,8
982,1
983,6
984,9
985,1
986,8
987,9
988,1
989,1
990,5
991,2
992,4
993,2
994,8
995,1
996,7
997,8
998,5
999,8
1000,3
1001,1
1002,4
1003,6
1004,8
1005,4
1006,1
1007,7
1008,5
1009,8
1010,4
1011,8
1012,4
1013,8
1014,8
1015,6
1016,7
1017,3
1018,1
1019,6
1020,5
1021,8
1022,8
1023,4
1024,8
1025,8
1026,1
1027,4
1028,6
1029,1
1030,1
1031,5
1032,6
1033,1
1034,6
1035,6
1036,2
1037,6
1038,1
1039,2
1040,4
1041,2
1042,1
1043,8
1044,6
1045,3
1046,6
1047,6
1048,1
1049,1
1050,9
1051,5
1052,8
1053,6
1054,5
1055,8
1056,3
1057,8
1058,7
1059,8
1060,3
1061,6
1062,1
1063,2
1064,1
1065,5
1066,6
1067,6
1068,1
1069,4
1070,3
1071,6
1072,9
1073,3
1074,3
1075,7
1076,9
1077,6
1078,9
1079,2
1080,6
1081,9
1082,7
1083,8
1084,9
1085,6
1086,9
1087,8
1088,6
1089,1
1090,8
1091,1
1092,2
1093,1
1094,8
1095,8
1096,4
1097,6
1098,9
1099,8
1100,7
1101,1
1102,4
1103,1
1104,6
1105,9
1106,8
1107,4
1108,8
1109,8
1110,2
1111,8
1112,8
1113,8
1114,4
1115,4
1116,9
1117,6
1118,4
1119,4
1120,9
1121,8
1122,6
1123,9
1124,1
1125,1
1126,7
1127,1
1128,6
1129,2
1130,9
1131,1
1132,4
1133,5
1134,1
1135,1
1136,1
1137,8
1138,7
1139,8
1140,1
1141,1
1142,8
1143,7
1144,8
1145,7
1146,5
1147,8
1148,8
1149,7
1150,1
1151,6
1152,6
1153,8
1154,4
1155,2
1156,8
1157,6
1158,4
1159,8
1160,1
1161,6
1162,8
1163,4
1164,1
1165,6
1166,6
1167,7
1168,1
1169,1
1170,1
1171,8
1172,6
1173,8
1174,7
1175,1
1176,1
1177,1
1178,1
1179,6
1180,6
1181,5
1182,6
1183,1
1184,4
1185,2
1186,3
1187,9
1188,9
1189,6
1190,6
1191,4
1192,6
1193,1
1194,5
1195,1
1196,7
1197,6
1198,4
1199,1
1200,1
1201,8
1202,1
1203,1
1204,5
1205,9
1206,6
1207,1
1208,4
1209,1
1210,4
1211,8
1212,9
1213,8
1214,4
1215,6
1216,1
1217,1
1218,9
1219,8
1220,4
1221,8
1222,5
1223,5
1224,1
1225,4
1226,5
1227,1
1228,6
1229,1
1230,4
1231,1
1232,7
1233,8
1234,8
1235,4
1236,2
1237,7
1238,2
1239,9
1240,7
1241,8
1242,1
1243,1
1244,1
1245,1
1246,9
1247,7
1248,1
1249,8
1250,1
1251,1
1252,1
1253,6
1254,9
1255,6
1256,8
1257,4
1258,9
1259,4
1260,9
1261,5
1262,6
1263,3
1264,6
1265,4
1266,8
1267,1
1268,7
1269,6
1270,9
1271,9
1272,4
1273,1
1274,1
1275,5
1276,4
1277,1
1278,6
1279,8
1280,1
1281,1
1282,1
1283,3
1284,8
1285,1
1286,9
1287,5
1288,9
1289,5
1290,1
1291,8
1292,1
1293,1
1294,8
1295,6
1296,1
1297,1
1298,1
1299,9
1300,1
1301,1
1302,8
1303,4
1304,1
1305,1
1306,4
1307,5
1308,1
1309,6
1310,4
1311,1
1312,8
1313,9
1314,2
1315,3
1316,5
1317,6
1318,8
1319,6
1320,6
1321,8
1322,9
1323,5
1324,2
1325,1
1326,4
1327,1
1328,6
1329,4
1330,8
1331,1
1332,1
1333,8
1334,5
1335,6
1336,1
1337,1
1338,8
1339,1
1340,1
1341,4
1342,7
1343,4
1344,3
1345,9
1346,7
1347,7
1348,8
1349,2
1350,6
1351,7
1352,2
1353,4
1354,9
1355,1
1356,6
1357,1
1358,2
1359,1
1360,1
1361,8
1362,8
1363,1
1364,1
1365,4
1366,1
1367,8
1368,7
1369,1
1370,2
1371,1
1372,1
1373,1
1374,6
1375,4
1376,1
1377,3
1378,8
1379,1
1380,7
1381,7
1382,8
1383,6
1384,6
1385,8
1386,1
1387,1
1388,9
1389,4
1390,1
1391,8
1392,6
1393,1
1394,8
1395,1
1396,7
1397,8
1398,6
1399,1
1400,8
1401,8
1402,4
1403,4
1404,6
1405,1
1406,3
1407,7
1408,1
1409,3
1410,1
1411,1
1412,6
1413,4
1414,5
1415,6
1416,8
1417,9
1418,4
1419,8
1420,4
1421,7
1422,9
1423,8
1424,7
1425,6
1426,1
1427,1
1428,8
1429,8
1430,4
1431,1
1432,1
1433,8
1434,4
1435,1
1436,4
1437,1
1438,9
1439,4
1440,8
1441,1
1442,7
1443,2
1444,4
1445,9
1446,1
1447,4
1448,6
1449,8
1450,2
1451,5
1452,6
1453,6
1454,7
1455,8
1456,6
1457,3
1458,6
1459,4
1460,8
1461,1
1462,7
1463,1
1464,1
1465,8
1466,2
1467,2
1468,8
1469,1
1470,1
1471,1
1472,1
1473,1
1474,2
1475,9
1476,2
1477,1
1478,7
1479,7
1480,3
1481,1
1482,7
1483,1
1484,4
1485,1
1486,4
1487,6
1488,3
1489,5
1490,8
1491,6
1492,8
1493,3
1494,7
1495,9
1496,1
1497,1
1498,4
1499,6
1500,1
1501,7
1502,8
1503,4
1504,4
1505,7
1506,2
1507,9
1508,8
1509,1
1510,2
1511,5
1512,4
1513,8
1514,9
1515,1
1516,1
1517,2
1518,2
1519,2
1520,6
1521,4
1522,1
1523,8
1524,8
1525,1
1526,4
1527,7
1528,5
1529,3
1530,8
1531,7
1532,8
1533,8
1534,4
1535,1
1536,1
1537,1
1538,3
1539,9
1540,6
1541,8
1542,4
1543,6
1544,6
1545,1
1546,2
1547,9
1548,9
1549,5
1550,4
1551,5
1552,6
1553,7
1554,4
1555,8
1556,8
1557,1
1558,8
1559,8
1560,8
1561,6
1562,8
1563,5
1564,5
1565,8
1566,6
1567,1
1568,1
1569,1
1570,3
1571,1
1572,8
1573,8
1574,1
1575,1
1576,3
1577,1
1578,1
1579,9
1580,6
1581,6
1582,1
1583,1
1584,7
1585,2
1586,8
1587,4
1588,1
1589,6
1590,8
1591,8
1592,8
1593,9
1594,8
1595,6
1596,1
1597,1
1598,4
1599,1
1600,2
1601,2
1602,1
1603,4
1604,7
1605,1
1606,9
1607,7
1608,1
1609,8
1610,6
1611,9
1612,8
1613,7
1614,6
1615,1
1616,5
1617,8
1618,4
1619,1
1620,4
1621,1
1622,5
1623,1
1624,1
1625,1
1626,7
1627,1
1628,1
1629,3
1630,3
1631,8
1632,1
1633,8
1634,4
1635,5
1636,8
1637,1
1638,1
1639,4
1640,9
1641,6
1642,8
1643,8
1644,5
1645,4
1646,1
1647,1
1648,3
1649,1
1650,1
1651,4
1652,6
1653,2
1654,8
1655,4
1656,8
1657,1
1658,1
1659,8
1660,5
1661,8
1662,9
1663,1
1664,8
1665,8
1666,9
1667,3
1668,8
1669,1
1670,1
1671,1
1672,1
1673,5
1674,1
1675,8
1676,2
1677,1
1678,1
1679,1
1680,6
1681,1
1682,4
1683,1
1684,2
1685,1
1686,7
1687,1
1688,6
1689,3
1690,4
1691,1
1692,9
1693,5
1694,4
1695,1
1696,8
1697,8
1698,4
1699,9
1700,8
1701,8
1702,1
1703,4
1704,1
1705,6
1706,5
1707,6
1708,7
1709,1
1710,3
1711,9
1712,7
1713,1
1714,4
1715,8
1716,9
1717,7
1718,5
1719,1
1720,1
1721,1
1722,1
1723,4
1724,2
1725,5
1726,4
1727,2
1728,9
1729,1
1730,9
1731,9
1732,4
1733,1
1734,1
1735,9
1736,1
1737,1
1738,1
1739,4
1740,9
1741,9
1742,6
1743,1
1744,2
1745,1
1746,4
1747,1
1748,1
1749,4
1750,6
1751,1
1752,8
1753,3
1754,3
1755,9
1756,7
1757,3
1758,8
1759,1
1760,1
1761,4
1762,1
1763,6
1764,7
1765,5
1766,7
1767,5
1768,6
1769,6
1770,2
1771,1
1772,6
1773,3
1774,7
1775,1
1776,6
1777,4
1778,6
1779,4
1780,8
1781,4
1782,5
1783,6
1784,7
1785,7
1786,1
1787,4
1788,4
1789,8
1790,8
1791,6
1792,5
1793,1
1794,1
1795,1
1796,8
1797,6
1798,2
